"year","organisation","critical_industry","organisation_size","level_of_digital_intensity","sector","country","cyber_security_role","cyber_security_frameworks","education_and_awareness_policy","policy","prevention_detection_and_recovery","improper_network_segmentation","absence_of_encryption","detector","restructuring_after_attack","bribe_ransom_paid","free_identity_or_credit_theft_monitoring","additional_disclosure_of_information","number_of_users_affected","overall_nature_of_attack","attack_type","attacker","attack_vector","impact_on_data","aspect_of_confidentiality_integrity_availability_triad_affected","individual_s_name_s_leaked_exposed","address_es_leaked_exposed","other_personally_identifiable_information_pii_leaked_exposed","track_1_credit_card_details_leaked_exposed","track_2_credit_card_details_leaked_exposed","social_security_number_tax_number_leaked_exposed","subsequent_fraudulent_use_of_data","investigation","undertook_investigation","litigation_by_public","penalties_settlement_paid_or_actions_imposed","imposed_penalties_or_actions_on_organisation","fines_issued_by_government_or_relevant_body","settlement_paid"
2004,"ChoicePoint","Yes","Large","High","Finance and insurance","USA","Yes","No","No","NA","Low","NA","NA","NA","Yes","No","Yes","Yes",145000,"Type 2","Misuse of resources","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
2010,"Cincinnati Children's Hospital Medical Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",61027,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"Citigroup","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","NA","NA",3950000,"Type 3","Physical Theft","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","Yes","NA","NA","NA","Yes","No","No","No","No","No","No","No"
2013,"City of Wichita  - Electronic Procurement Website","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","No",29000,"Type 4","Web compromise","External","Unknown website/web application attack","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"ClixSense","No","Unknown","High","Advertising and other business services","USA","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","No","No",6600000,"Type 2","Misuse of resources","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2006,"Colorado Department of Human Services","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",1400000,"Type 3","Physical Theft","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Columbus Surgery Center, LLC","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",10000,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Comelec","Yes","Unknown","Medium-High","Public administration and defence","Philippines","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",5.5e+07,"Type 4","Web compromise","External","Unknown website/web application attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Community College of Southern Nevada","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","Yes","No","Organisation","Yes","No","NA","Yes",197518,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Community Health Plan of Washington","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",4e+05,"Type 2","Unknown","External","Vendor vulnerability","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Community Health Systems","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Low","Yes","NA","Organisation","NA","No","No","NA",4500000,"Type 2","Unknown","External","Insufficient authentication validation","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Compass Bank","Yes","Unknown","High","Finance and insurance","USA","No","No","No","Yes","Low","No","No","Organisation","NA","No","NA","NA",1e+06,"Type 3","Physical Theft","Internal","Physical device","High","Confidentiality","Yes","Yes","No","Yes","NA","Yes","Yes","No","No","No","No","No","No","No"
2018,"Comply right inc","No","Large","High","Administrative and support service","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",662000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No"
2015,"Concordia Plan Services","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",12500,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"CoPilot Provider Services Inc.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","Yes",220000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Coplin Health Systems","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",43000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Cord Blood Registry","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",3e+05,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"Cornell University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",45000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","NA","NA","Yes","No","No","No","No","No","No","No","No"
2008,"Countrywide Financial Corp.","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",2e+06,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
2016,"County of Los Angeles","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","No",756000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2019,"Critical Care, Pulmonary  Sleep Associates, PLLP","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","No","Medium","NA","NA","Organisation","Yes","No","No","No",23300,"Type 2","Misuse of resources","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
2007,"Da Davidson","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",192000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
2017,"DaFont","No","Unknown","High","Advertising and other business services","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",699464,"Type 4","Web compromise","External","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"Dai Nippon Printing","No","Large","Medium-High","Publishing, audiovisual and broadcasting","Japan","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","NA",8637405,"Type 5","Misuse of resources","Internal","Physical device","High","Confidentiality","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No"
2017,"Darden restaurants","Yes","Unknown","Low","Accommodation and food service activities","USA","No","No","No","Yes","Low","NA","Yes","Federal Agency","Yes","No","Yes","Yes",567000,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","No","Yes","NA","No","No","No","No","No","No","No","No","No"
2008,"Davidson Companies","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","NA",226000,"Type 4","Web compromise","External","Unknown network attack","High","Confidentiality","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
2007,"Davidson County Election Commission","Yes","Small","Medium-High","Public administration and defence","USA","No","No","No","NA","Low","No","Yes","Organisation","No","No","Yes","Yes",337000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"DaVita","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",11500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"DBM Global","Yes","Large","High","Construction","USA","No","No","No","Yes","Low","No","Yes","NA","Yes","No","Yes","Yes",567000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2014,"Deltek GovWin IQ","Yes","Large","High","IT and other information services","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",80000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2010,"DentaQuest","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",20100,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Diamond Institute For Infertility & Menopause","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","NA",14263,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2012,"Digital Playground","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","NA",70000,"NA","Unknown","External","Unknown website/web application attack","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2010,"Digital River Inc.","Yes","Large","High","IT and other information services","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","NA","NA",2e+05,"Type 2","Unknown","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
2016,"Disney Consumer Products  Interactive Media","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",391000,"NA","Unknown","External","Unknown website/web application attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2012,"Disqus","No","Unknown","High","Advertising and other business services","USA","No","No","No","Yes","Low","NA","Yes","Public","Yes","No","No","NA",17500000,"NA","Unknown","External","NA","Low","Confidentiality","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2017,"Dixons Carphone","No","Large","Medium-High","Wholesale, retail trade and repair","UK","No","No","No","Yes","Low","Yes","Yes","NA","No","No","No","No",1.4e+07,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","Yes","No","Yes","No","Yes","No"
2008,"Dominion Enterprises","No","Large","Medium-High","Publishing, audiovisual and broadcasting","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",92095,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
2019,"Dr. DeLuca Dr. Marciano & Associates, P.C.","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","High","Yes","Yes","Organisation","Yes","No","Yes","Yes",23578,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2013,"E-Trade","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","NA","NA","Federal Agency","Yes","No","No","No",31000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
2009,"Eastern Illinois University","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",9000,"Type 1","Installed malware","External","Unknown device attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"Eastern Washington University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","NA","Yes",130000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"eBay","No","Large","Medium-High","Wholesale, retail trade and repair","Global","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",1.45e+08,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","No","Yes","No","No","No","No"
2010,"Educational Credit Management Corp","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",3300000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2012,"eHarmony.com","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","NA",1500000,"NA","Unknown","External","NA","Low","Confidentiality","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2011,"Eisenhower Medical Center","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",5e+05,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No"
2009,"Elance","No","Medium","High","Advertising and other business services","UK","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","NA","NA",1300000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2017,"Elderplan, Inc.","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","No",28000,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Elex (mobile game Clash of Kings)","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",1600000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Emory Healthcare","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",79930,"Type 2","Unknown","External","Vendor vulnerability","High","Availability","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No"
2016,"ENT & Allergy Center","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","No",16000,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Environmental Protection Agency","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","No",7800,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Epic Games Forums","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",8e+05,"Type 2","Misuse of resources","External","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"Episcopal Health Services Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",218055,"Type 2","Misuse of resources","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Equifax","Yes","Large","High","Finance and insurance","Global","Yes","No","No","Yes","Low","Yes","Yes","NA","Yes","No","Yes","Yes",163020000,"Type 4","Web compromise","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
2013,"Evernote","Yes","Medium","High","IT and other information services","Global","Yes","No","No","Yes","Medium","NA","No","Organisation","Yes","No","No","Yes",5e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Evony","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",33407472,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"Excellus Blue Cross Blue Shield","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",1e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2014,"Experian","Yes","Large","High","Finance and insurance","UK","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","Yes","NA",1.5e+07,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2009,"Express Scripts","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Public","NA","No","NA","NA",7e+05,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2019,"EyeSouth Partners","Yes","Medium","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","NA","NA",24113,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Facebook","No","Large","Medium-High","Arts, entertainment and recreation","Global","Yes","Yes","Yes","Yes","Medium","NA","NA","Organisation","Yes","No","NA","Yes",5e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Family Tree Health Clinic","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",13000,"Type 1","Installed malware","External","Social engineering","High","Availability","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Farmgirl Flowers, Inc.","No","Medium","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","High","Yes","Yes","Organisation","Yes","No","Yes","Yes",1870,"Type 4","Web compromise","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","Yes","Yes","Yes","No","No","No","No","No"
2009,"Federal Aviation Administration","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","NA","Yes",45000,"Type 2","Misuse of resources","External","Unknown device attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Feinstein Institute for Medical Research","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",13000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2018,"Fetal Diagnostic Institute of the Pacific","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",40800,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"Fidelity Investments","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",196000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Florida Agency for Workforce Innovation","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","NA","Yes",250000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2005,"Ford Motor Co.","Yes","Large","Medium-High","Machine equipment","USA","No","No","No","NA","Medium","No","Yes","Organisation","Yes","No","Yes","No",70000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2008,"Forever21","No","Unknown","Low-Medium","Textiles, wearing apparel and leather","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",98930,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2012,"Formspring","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","No",420000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Friend Finder Network","Yes","Large","High","IT and other information services","USA","Yes","No","No","Yes","Low","NA","NA","Public","Yes","No","No","Yes",4.12e+08,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Froedtert Health","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",43000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Gamigo","No","Large","Medium-High","Arts, entertainment and recreation","Germany","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","NA","Yes",8243809,"NA","Unknown","External","Unknown network attack","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2017,"Gannett Co","No","Large","Medium-High","Publishing, audiovisual and broadcasting","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","No",18000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Gap Inc","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",8e+05,"Type 3","Physical Theft","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"George Mason University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","Yes",32000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","NA","NA","Yes","No","Yes","Yes","No","No","No","No","No"
2006,"Georgetown University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","NA","No","No","No","No",41000,"NA","Unknown","External","Unknown device attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2015,"Global Care Delivery, Inc.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","NA","Organisation","Yes","No","No","No",18000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Global Payments","Yes","Large","High","Finance and insurance","USA","Yes","No","No","Yes","Low","NA","NA","Public","Yes","No","Yes","NA",1500000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","No","Yes","NA","No","Yes","Yes","Yes","No","Yes","No","Yes","No"
2018,"Gold Coast Health Plan","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",37000,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Goodwill Industries","No","Unknown","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","NA","Yes","Credit card/bank","Yes","No","No","NA",868000,"Type 1","Installed malware","External","Vendor vulnerability","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2016,"Google Android","Yes","Large","High","IT and other information services","USA","Yes","No","No","Yes","Low","NA","Yes","Organisation","Yes","No","No","No",1e+06,"Type 1","Installed malware","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"Grace Primary Care, PC","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",6853,"Type 2","Unknown","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Hackensack Sleep  Pulmonary Center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",16000,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","Yes","NA","Yes","No","Yes","Yes","No","No","No","No","No"
2007,"Hannaford Brothers Supermarket Chain","Yes","Large","Low","Food products, beverages and tobacco","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","No","No",4200000,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","Yes","No","No","No","No","No"
2017,"Harrisburg Endoscopy  Surgery Center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",9092,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Hartford Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","NA",93500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No"
2012,"Hartford Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","Yes",10000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Harvard University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",10000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Health equity inc","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","NA",190000,"Type 2","Misuse of resources","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Health First, Inc","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",42000,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Health South East","Yes","Unknown","Low-Medium","Human health activities","Norway","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",2900000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
